customer_id,categories_interested,price_sensitivity,preferred_brands,preferred_styles,preferred_shopping_days
CUST-0000032,accessories,low,"Luxe & Co.,Seaside Atelier","designer,editorial",weekend
CUST-0000033,"handbags,beauty,jewelry",medium,,"editorial,contemporary",weekday_morning
CUST-0000034,"men,women",medium,,editorial,weekend
CUST-0000035,"women,accessories",medium,,"editorial,designer",anytime
CUST-0000036,accessories,high,,athleisure,weekend
CUST-0000037,men,medium,,"classic,editorial",anytime
CUST-0000038,"jewelry,handbags",medium,"Luxe & Co.,Aurelle Couture",editorial,weekday_morning
CUST-0000039,"men,beauty,shoes",medium,,editorial,weekday_morning
CUST-0000040,"accessories,beauty,jewelry",low,Bellezza Studio,"designer,athleisure",weekend
CUST-0000041,"jewelry,home,men",medium,"Aurelle Couture,Seaside Atelier,Bellezza Studio","contemporary,editorial",weekday_morning
CUST-0000042,"handbags,men,jewelry",medium,"Montclair House,Bellezza Studio",classic,weekday_evening
CUST-0000043,home,medium,,"editorial,classic",anytime
CUST-0000044,beauty,medium,Montclair House,"editorial,athleisure",weekday_evening
CUST-0000045,"home,beauty",medium,"Aurelle Couture,Bellezza Studio,Montclair House","editorial,designer",weekend
CUST-0000046,"beauty,handbags",medium,"Luxe & Co.,Bellezza Studio,Seaside Atelier",athleisure,weekday_morning
CUST-0000047,"accessories,men,women",medium,Veloce Luxe,editorial,weekday_evening
CUST-0000048,"beauty,handbags",high,"Veloce Luxe,Seaside Atelier,Montclair House",designer,anytime
CUST-0000049,"beauty,men,accessories",medium,"Seaside Atelier,Luxe & Co.",editorial,weekend
CUST-0000050,women,medium,"Luxe & Co.,Montclair House",contemporary,anytime
CUST-0000051,shoes,high,"Seaside Atelier,Bellezza Studio","contemporary,athleisure",weekday_morning
CUST-0000052,"accessories,women,handbags",medium,"Veloce Luxe,Bellezza Studio,Aurelle Couture","designer,classic",weekday_evening
CUST-0000053,"handbags,women",high,Bellezza Studio,classic,weekday_morning
CUST-0000054,home,medium,Aurelle Couture,"editorial,designer",weekday_evening
CUST-0000055,"men,shoes,home",medium,,"contemporary,designer",weekday_evening
CUST-0000056,"shoes,home",medium,"Montclair House,Bellezza Studio,Luxe & Co.","athleisure,editorial",weekday_morning
CUST-0000057,"accessories,shoes,jewelry",medium,"Seaside Atelier,Veloce Luxe","contemporary,editorial",anytime
CUST-0000058,"shoes,women,jewelry",medium,"Veloce Luxe,Luxe & Co.",classic,weekend
CUST-0000059,women,low,,editorial,weekday_evening
CUST-0000060,"men,shoes,jewelry",medium,"Veloce Luxe,Montclair House,Seaside Atelier","classic,designer",weekday_evening
CUST-0000061,"men,shoes",medium,"Veloce Luxe,Aurelle Couture",editorial,weekday_evening
CUST-0000062,"women,home",high,"Seaside Atelier,Veloce Luxe,Montclair House",athleisure,weekday_morning
CUST-0000063,"jewelry,beauty",medium,,"contemporary,classic",anytime
CUST-0000064,jewelry,low,"Seaside Atelier,Aurelle Couture,Luxe & Co.","classic,contemporary",weekday_evening
CUST-0000065,"shoes,accessories",low,Seaside Atelier,"editorial,designer",anytime
CUST-0000066,"accessories,home",low,"Seaside Atelier,Montclair House,Bellezza Studio","classic,athleisure",weekday_evening
CUST-0000067,"jewelry,men",high,,editorial,weekday_morning
CUST-0000068,"accessories,jewelry",medium,Luxe & Co.,"athleisure,editorial",anytime
CUST-0000069,"accessories,beauty",high,"Aurelle Couture,Luxe & Co.,Montclair House","contemporary,editorial",weekday_morning
CUST-0000070,handbags,low,"Montclair House,Veloce Luxe",editorial,weekday_evening
CUST-0000071,"home,women",low,Luxe & Co.,athleisure,anytime
CUST-0000072,"men,women",high,,classic,weekday_evening
CUST-0000073,beauty,medium,,"designer,athleisure",weekday_evening
CUST-0000074,beauty,high,"Montclair House,Bellezza Studio,Luxe & Co.",contemporary,weekday_morning
CUST-0000075,"beauty,shoes,women",high,,designer,weekday_morning
CUST-0000076,men,high,"Seaside Atelier,Montclair House",classic,anytime
CUST-0000077,"home,shoes",high,"Montclair House,Luxe & Co.",editorial,weekday_evening
CUST-0000078,"women,men,home",high,"Aurelle Couture,Veloce Luxe",classic,weekday_evening
CUST-0000079,shoes,medium,,editorial,anytime
CUST-0000080,"handbags,accessories",medium,,designer,weekday_morning
CUST-0000081,"beauty,handbags",medium,,classic,weekday_morning
CUST-0000082,"home,beauty",medium,"Veloce Luxe,Luxe & Co.","contemporary,designer",anytime
CUST-0000083,"handbags,beauty,shoes",low,,contemporary,weekday_evening
CUST-0000084,"shoes,beauty,women",medium,"Aurelle Couture,Veloce Luxe,Seaside Atelier","designer,classic",weekday_morning
CUST-0000085,shoes,high,"Montclair House,Bellezza Studio,Aurelle Couture",classic,weekday_evening
CUST-0000086,shoes,medium,Bellezza Studio,"designer,athleisure",anytime
CUST-0000087,"shoes,beauty,home",medium,"Montclair House,Luxe & Co.","contemporary,classic",anytime
CUST-0000088,"jewelry,accessories",medium,Luxe & Co.,"athleisure,designer",weekday_morning
CUST-0000089,"beauty,accessories",medium,"Veloce Luxe,Luxe & Co.,Bellezza Studio","classic,designer",weekday_evening
CUST-0000090,"beauty,home,men",low,Montclair House,"classic,athleisure",weekday_morning
CUST-0000091,"shoes,home",low,"Aurelle Couture,Luxe & Co.","editorial,contemporary",weekday_morning
CUST-0000092,"jewelry,beauty",high,"Seaside Atelier,Luxe & Co.",classic,weekday_evening
CUST-0000093,"beauty,men",medium,"Montclair House,Bellezza Studio,Veloce Luxe",athleisure,anytime
CUST-0000094,"accessories,men",medium,"Veloce Luxe,Montclair House,Aurelle Couture",athleisure,anytime
CUST-0000095,jewelry,medium,"Luxe & Co.,Veloce Luxe",classic,weekday_morning
CUST-0000096,"handbags,beauty,shoes",medium,"Bellezza Studio,Montclair House,Luxe & Co.","editorial,athleisure",anytime
CUST-0000097,"accessories,home",medium,"Luxe & Co.,Aurelle Couture","editorial,designer",anytime
CUST-0000098,"beauty,accessories,women",medium,"Veloce Luxe,Luxe & Co.,Seaside Atelier","contemporary,designer",weekday_evening
CUST-0000099,"shoes,jewelry,home",low,"Aurelle Couture,Seaside Atelier",athleisure,anytime
CUST-0000100,handbags,high,,classic,weekday_evening
CUST-0000101,"jewelry,home,beauty",medium,"Aurelle Couture,Veloce Luxe",editorial,weekend
CUST-0000102,beauty,medium,Aurelle Couture,"editorial,classic",weekday_morning
CUST-0000103,women,medium,"Veloce Luxe,Montclair House",athleisure,weekday_morning
CUST-0000104,"shoes,men",medium,"Luxe & Co.,Montclair House,Seaside Atelier","contemporary,athleisure",weekend
CUST-0000105,"women,beauty,accessories",high,"Veloce Luxe,Aurelle Couture,Bellezza Studio","designer,contemporary",anytime
CUST-0000106,"men,beauty,jewelry",low,"Veloce Luxe,Montclair House,Bellezza Studio",contemporary,weekend
CUST-0000107,"jewelry,accessories,shoes",medium,"Veloce Luxe,Bellezza Studio",classic,weekday_evening
CUST-0000108,"handbags,accessories",medium,,classic,weekday_morning
CUST-0000109,women,medium,"Bellezza Studio,Luxe & Co.,Veloce Luxe","designer,editorial",weekday_morning
CUST-0000110,"beauty,men,jewelry",medium,"Bellezza Studio,Luxe & Co.,Seaside Atelier","classic,contemporary",weekday_morning
CUST-0000111,"jewelry,handbags",low,"Luxe & Co.,Veloce Luxe,Aurelle Couture",contemporary,weekday_morning
CUST-0000112,shoes,high,"Montclair House,Luxe & Co.","contemporary,classic",weekend
CUST-0000113,accessories,medium,Veloce Luxe,classic,weekday_evening
CUST-0000114,"handbags,shoes,beauty",low,Montclair House,"contemporary,designer",anytime
CUST-0000115,"women,accessories",medium,Seaside Atelier,"classic,athleisure",weekday_morning
CUST-0000116,handbags,medium,"Luxe & Co.,Aurelle Couture",classic,anytime
CUST-0000117,"home,handbags,shoes",medium,"Luxe & Co.,Bellezza Studio,Veloce Luxe",athleisure,weekday_morning
CUST-0000118,"men,accessories,shoes",medium,Luxe & Co.,athleisure,weekday_evening
CUST-0000119,"shoes,handbags",medium,Aurelle Couture,"designer,athleisure",weekend
CUST-0000120,"beauty,women,home",medium,"Seaside Atelier,Montclair House","athleisure,designer",weekday_evening
CUST-0000121,"jewelry,accessories,shoes",medium,Luxe & Co.,"athleisure,contemporary",weekend
CUST-0000122,"women,men,home",medium,,editorial,anytime
CUST-0000123,"home,accessories,beauty",medium,,"classic,contemporary",weekend
CUST-0000124,"shoes,accessories,home",high,"Bellezza Studio,Montclair House","designer,athleisure",anytime
CUST-0000125,women,medium,Luxe & Co.,athleisure,weekend
CUST-0000126,beauty,medium,"Bellezza Studio,Montclair House","athleisure,classic",weekday_evening
CUST-0000127,jewelry,medium,"Luxe & Co.,Bellezza Studio","designer,editorial",weekday_evening
CUST-0000128,"shoes,women",medium,,editorial,weekday_morning
CUST-0000129,"accessories,men",medium,"Montclair House,Veloce Luxe,Aurelle Couture",contemporary,weekday_evening
CUST-0000130,handbags,medium,Veloce Luxe,"editorial,designer",anytime
CUST-0000131,handbags,low,"Montclair House,Luxe & Co.","editorial,contemporary",weekday_evening
CUST-0000132,men,medium,"Montclair House,Veloce Luxe,Bellezza Studio","editorial,classic",weekend
CUST-0000133,"handbags,shoes,men",medium,Bellezza Studio,contemporary,anytime
CUST-0000134,"home,handbags",medium,,"designer,contemporary",weekend
CUST-0000135,"home,handbags,beauty",low,Aurelle Couture,"contemporary,editorial",weekday_morning
CUST-0000136,"home,accessories",medium,"Veloce Luxe,Bellezza Studio","contemporary,athleisure",anytime
CUST-0000137,women,medium,,contemporary,weekday_evening
CUST-0000138,"beauty,handbags",high,"Aurelle Couture,Montclair House",editorial,anytime
CUST-0000139,"handbags,jewelry,women",low,,"editorial,classic",weekend
CUST-0000140,"handbags,women",high,"Bellezza Studio,Seaside Atelier",contemporary,weekend
CUST-0000141,"shoes,jewelry",low,"Luxe & Co.,Veloce Luxe","designer,athleisure",weekday_evening
CUST-0000142,handbags,high,Bellezza Studio,"classic,designer",weekday_evening
CUST-0000143,shoes,high,"Veloce Luxe,Aurelle Couture",contemporary,weekday_evening
CUST-0000144,"women,beauty,handbags",high,,athleisure,anytime
CUST-0000145,"handbags,shoes,home",medium,"Luxe & Co.,Bellezza Studio,Veloce Luxe","athleisure,designer",weekday_evening
CUST-0000146,beauty,medium,"Seaside Atelier,Luxe & Co.,Bellezza Studio","editorial,designer",weekend
CUST-0000147,"jewelry,accessories",medium,,athleisure,anytime
CUST-0000148,"women,home,accessories",high,"Veloce Luxe,Luxe & Co.",editorial,weekday_morning
CUST-0000149,beauty,medium,"Seaside Atelier,Montclair House",editorial,weekday_evening
CUST-0000150,"home,jewelry",medium,,"contemporary,athleisure",weekday_evening
CUST-0000151,"jewelry,home,accessories",low,"Veloce Luxe,Luxe & Co.,Bellezza Studio","classic,designer",weekday_morning
CUST-0000152,"accessories,beauty",low,"Aurelle Couture,Bellezza Studio,Seaside Atelier",designer,weekend
CUST-0000153,men,medium,Aurelle Couture,"designer,classic",weekday_evening
CUST-0000154,handbags,medium,"Luxe & Co.,Veloce Luxe,Montclair House","athleisure,contemporary",weekday_evening
CUST-0000155,beauty,medium,Luxe & Co.,"contemporary,athleisure",weekday_morning
CUST-0000156,accessories,medium,"Montclair House,Veloce Luxe,Seaside Atelier","designer,contemporary",weekday_morning
CUST-0000157,"home,jewelry",medium,Montclair House,classic,anytime
CUST-0000158,"women,shoes",medium,"Aurelle Couture,Luxe & Co.","designer,contemporary",weekend
CUST-0000159,"jewelry,accessories",high,"Veloce Luxe,Bellezza Studio","classic,editorial",anytime
CUST-0000160,"accessories,shoes",medium,"Luxe & Co.,Seaside Atelier",designer,weekday_evening
CUST-0000161,"handbags,home",medium,Seaside Atelier,athleisure,anytime
CUST-0000162,accessories,medium,"Montclair House,Aurelle Couture",editorial,anytime
CUST-0000163,"home,accessories",medium,Montclair House,"editorial,designer",anytime
CUST-0000164,"jewelry,handbags,home",medium,"Luxe & Co.,Veloce Luxe",designer,weekday_evening
CUST-0000165,home,medium,"Montclair House,Aurelle Couture","athleisure,designer",weekday_evening
CUST-0000166,shoes,low,Seaside Atelier,athleisure,weekend
CUST-0000167,accessories,medium,,athleisure,weekend
CUST-0000168,"accessories,home",medium,,classic,weekday_evening
CUST-0000169,home,medium,,contemporary,weekend
CUST-0000170,home,high,"Veloce Luxe,Aurelle Couture,Bellezza Studio",athleisure,anytime
CUST-0000171,"jewelry,men,handbags",low,,classic,weekday_morning
CUST-0000172,"accessories,shoes,jewelry",medium,,designer,weekday_morning
CUST-0000173,"shoes,handbags,accessories",low,,designer,anytime
CUST-0000174,beauty,high,"Luxe & Co.,Bellezza Studio","classic,editorial",weekend
CUST-0000175,handbags,low,"Luxe & Co.,Montclair House,Veloce Luxe",designer,anytime
CUST-0000176,"shoes,men,accessories",medium,,"designer,editorial",weekend
CUST-0000177,handbags,medium,"Veloce Luxe,Aurelle Couture",classic,anytime
CUST-0000178,men,medium,"Montclair House,Seaside Atelier,Luxe & Co.","contemporary,classic",weekday_morning
CUST-0000179,home,medium,"Seaside Atelier,Bellezza Studio,Aurelle Couture","designer,athleisure",weekday_morning
CUST-0000180,"handbags,beauty,accessories",low,"Veloce Luxe,Luxe & Co.,Aurelle Couture","contemporary,editorial",weekday_morning
CUST-0000181,"beauty,women",medium,"Bellezza Studio,Aurelle Couture","designer,contemporary",weekday_evening
CUST-0000182,"men,beauty",medium,"Veloce Luxe,Luxe & Co.,Bellezza Studio","editorial,contemporary",anytime
CUST-0000183,"home,handbags,men",medium,"Veloce Luxe,Aurelle Couture,Luxe & Co.",classic,anytime
CUST-0000184,"jewelry,accessories",low,"Luxe & Co.,Veloce Luxe",classic,weekend
CUST-0000185,men,high,,"editorial,designer",weekend
CUST-0000186,women,high,Bellezza Studio,"contemporary,designer",anytime
CUST-0000187,"shoes,beauty,home",medium,"Veloce Luxe,Aurelle Couture","designer,editorial",weekend
CUST-0000188,"women,handbags,jewelry",low,"Luxe & Co.,Aurelle Couture,Montclair House",athleisure,anytime
CUST-0000189,"jewelry,beauty,handbags",medium,,athleisure,weekend
CUST-0000190,"women,shoes,accessories",medium,"Aurelle Couture,Luxe & Co.",editorial,weekday_morning
CUST-0000191,"shoes,beauty",medium,Luxe & Co.,designer,anytime
CUST-0000192,"home,handbags",medium,,"classic,contemporary",weekday_evening
CUST-0000193,"beauty,women",high,"Veloce Luxe,Montclair House,Luxe & Co.","classic,contemporary",weekend
CUST-0000194,"beauty,handbags",medium,,"classic,designer",anytime
CUST-0000195,"beauty,handbags",medium,,"classic,athleisure",weekend
CUST-0000196,accessories,medium,,"athleisure,designer",weekday_evening
CUST-0000197,"women,beauty,accessories",low,"Montclair House,Veloce Luxe",editorial,anytime
CUST-0000198,"home,men,women",medium,"Montclair House,Aurelle Couture","designer,classic",weekday_morning
CUST-0000199,"home,women,accessories",high,,athleisure,weekend
CUST-0000200,"shoes,beauty",medium,"Aurelle Couture,Bellezza Studio,Seaside Atelier","classic,designer",weekday_evening
CUST-0000201,"beauty,shoes",medium,"Veloce Luxe,Bellezza Studio,Aurelle Couture",classic,weekend
CUST-0000202,beauty,medium,Aurelle Couture,contemporary,weekday_evening
CUST-0000203,men,low,"Luxe & Co.,Veloce Luxe",designer,weekend
CUST-0000204,handbags,high,,contemporary,weekday_evening
CUST-0000205,"accessories,women,shoes",medium,"Montclair House,Seaside Atelier,Bellezza Studio","editorial,classic",weekday_evening
CUST-0000206,"shoes,beauty",low,,"classic,contemporary",weekday_morning
CUST-0000207,"accessories,men",medium,"Luxe & Co.,Veloce Luxe,Montclair House","contemporary,editorial",weekday_morning
CUST-0000208,"men,jewelry,shoes",low,,"designer,classic",weekday_evening
CUST-0000209,"accessories,shoes,men",medium,"Bellezza Studio,Montclair House,Seaside Atelier",designer,anytime
CUST-0000210,"jewelry,men",low,,"athleisure,editorial",weekday_evening
CUST-0000211,"beauty,women,home",medium,Montclair House,editorial,weekend
CUST-0000212,shoes,low,,"contemporary,classic",anytime
CUST-0000213,women,high,Seaside Atelier,"classic,designer",weekend
CUST-0000214,"beauty,home",medium,"Montclair House,Seaside Atelier","designer,classic",weekday_evening
CUST-0000215,"shoes,handbags,accessories",low,"Bellezza Studio,Veloce Luxe","athleisure,editorial",weekday_evening
CUST-0000216,women,medium,,"athleisure,designer",anytime
CUST-0000217,"accessories,women,jewelry",medium,Seaside Atelier,classic,weekend
CUST-0000218,"men,home,shoes",medium,"Aurelle Couture,Luxe & Co.,Bellezza Studio","contemporary,editorial",weekday_morning
CUST-0000219,shoes,medium,,athleisure,weekday_morning
CUST-0000220,"accessories,home",medium,Seaside Atelier,classic,weekday_morning
CUST-0000221,men,high,,contemporary,weekday_morning
CUST-0000222,women,low,Luxe & Co.,"athleisure,classic",weekday_morning
CUST-0000223,"handbags,beauty,home",medium,"Luxe & Co.,Veloce Luxe,Seaside Atelier","athleisure,designer",anytime
CUST-0000224,handbags,medium,"Luxe & Co.,Bellezza Studio","contemporary,classic",weekend
CUST-0000225,jewelry,low,"Seaside Atelier,Aurelle Couture,Bellezza Studio",classic,anytime
CUST-0000226,"accessories,men,handbags",low,Aurelle Couture,editorial,weekday_evening
CUST-0000227,"shoes,jewelry",medium,Montclair House,editorial,weekday_morning
CUST-0000228,jewelry,low,Veloce Luxe,"editorial,athleisure",weekend
CUST-0000229,"women,men",medium,"Luxe & Co.,Veloce Luxe,Montclair House","designer,athleisure",weekday_evening
CUST-0000230,"beauty,home",low,,athleisure,weekday_morning
CUST-0000231,beauty,medium,"Seaside Atelier,Luxe & Co.",athleisure,weekday_morning
CUST-0000232,"accessories,home",medium,,designer,anytime
CUST-0000233,"handbags,jewelry,home",medium,,contemporary,weekend
CUST-0000234,"handbags,accessories",high,"Bellezza Studio,Aurelle Couture","designer,editorial",weekend
CUST-0000235,"handbags,beauty,jewelry",low,Bellezza Studio,"editorial,designer",weekday_morning
CUST-0000236,handbags,medium,Montclair House,editorial,anytime
CUST-0000237,"home,women,jewelry",medium,"Seaside Atelier,Aurelle Couture","designer,classic",weekend
CUST-0000238,"handbags,shoes",low,,contemporary,anytime
CUST-0000239,shoes,medium,,"contemporary,classic",weekend
CUST-0000240,"jewelry,shoes,accessories",high,"Montclair House,Veloce Luxe",classic,weekday_morning
CUST-0000241,"accessories,men",low,"Montclair House,Veloce Luxe","designer,contemporary",weekend
CUST-0000242,shoes,medium,Luxe & Co.,classic,weekday_morning
CUST-0000243,jewelry,low,,"contemporary,editorial",anytime
CUST-0000244,"men,jewelry,women",medium,"Montclair House,Seaside Atelier,Aurelle Couture",contemporary,anytime
CUST-0000245,"men,women",medium,,classic,anytime
CUST-0000246,jewelry,high,"Aurelle Couture,Veloce Luxe,Montclair House","classic,editorial",weekday_evening
CUST-0000247,"handbags,shoes,accessories",medium,"Veloce Luxe,Luxe & Co.","designer,classic",anytime
CUST-0000248,"jewelry,handbags",medium,Veloce Luxe,"contemporary,athleisure",weekend
CUST-0000249,"men,shoes",medium,"Montclair House,Luxe & Co.",athleisure,weekday_morning
CUST-0000250,shoes,medium,,athleisure,weekday_evening
CUST-0000251,"men,handbags",high,Bellezza Studio,"designer,classic",weekend
CUST-0000252,"home,women",medium,Bellezza Studio,"contemporary,classic",anytime
CUST-0000253,"shoes,beauty",low,"Luxe & Co.,Seaside Atelier,Montclair House","classic,contemporary",weekend
CUST-0000254,handbags,medium,,classic,weekend
CUST-0000255,home,high,"Bellezza Studio,Luxe & Co.,Aurelle Couture",editorial,weekend
CUST-0000256,"home,jewelry,men",high,,"athleisure,editorial",anytime
CUST-0000257,shoes,medium,"Montclair House,Seaside Atelier,Luxe & Co.","contemporary,designer",weekend
CUST-0000258,"beauty,women",medium,,athleisure,weekday_morning
CUST-0000259,"beauty,handbags,accessories",low,,"classic,designer",weekday_morning
CUST-0000260,"shoes,women,beauty",low,Luxe & Co.,"classic,contemporary",weekend
CUST-0000261,"men,jewelry",medium,,contemporary,anytime
CUST-0000262,"beauty,women,jewelry",high,,classic,weekend
CUST-0000263,"jewelry,accessories",low,Montclair House,"contemporary,classic",anytime
CUST-0000264,"women,home,handbags",medium,"Veloce Luxe,Luxe & Co.","designer,athleisure",weekend
CUST-0000265,"women,handbags,shoes",medium,"Bellezza Studio,Montclair House,Seaside Atelier","designer,contemporary",weekend
CUST-0000266,"home,beauty",medium,,classic,weekday_morning
CUST-0000267,"women,home,accessories",medium,"Aurelle Couture,Montclair House,Veloce Luxe","designer,athleisure",anytime
CUST-0000268,"accessories,women",medium,,classic,weekend
CUST-0000269,"accessories,men",medium,Bellezza Studio,athleisure,weekday_evening
CUST-0000270,"beauty,handbags",high,"Aurelle Couture,Bellezza Studio","athleisure,designer",weekend
CUST-0000271,"home,jewelry,women",medium,Bellezza Studio,"editorial,athleisure",weekend
CUST-0000272,"handbags,shoes,home",high,Montclair House,classic,weekend
CUST-0000273,shoes,high,"Montclair House,Aurelle Couture,Seaside Atelier","designer,athleisure",weekday_morning
CUST-0000274,beauty,medium,"Montclair House,Seaside Atelier,Aurelle Couture",designer,anytime
CUST-0000275,beauty,medium,Montclair House,classic,weekday_evening
CUST-0000276,"home,handbags,women",medium,"Luxe & Co.,Montclair House",classic,weekday_morning
CUST-0000277,shoes,medium,"Veloce Luxe,Luxe & Co.,Aurelle Couture","editorial,classic",weekday_morning
CUST-0000278,"home,women",medium,"Aurelle Couture,Bellezza Studio,Seaside Atelier",classic,weekday_morning
CUST-0000279,"handbags,jewelry,home",medium,Montclair House,classic,weekend
CUST-0000280,"women,jewelry,shoes",high,Seaside Atelier,contemporary,anytime
CUST-0000281,women,medium,"Bellezza Studio,Luxe & Co.",athleisure,anytime
CUST-0000282,men,high,,"contemporary,athleisure",weekday_evening
CUST-0000283,home,high,"Veloce Luxe,Seaside Atelier,Luxe & Co.",contemporary,weekday_morning
CUST-0000284,"handbags,beauty,home",high,Bellezza Studio,classic,anytime
CUST-0000285,"women,beauty,shoes",low,,"contemporary,classic",weekend
CUST-0000286,handbags,medium,"Montclair House,Veloce Luxe","classic,designer",anytime
CUST-0000287,shoes,medium,Bellezza Studio,editorial,weekday_morning
CUST-0000288,men,low,"Aurelle Couture,Luxe & Co.",classic,anytime
CUST-0000289,"men,accessories",low,"Montclair House,Aurelle Couture",editorial,anytime
CUST-0000290,men,high,"Veloce Luxe,Aurelle Couture,Seaside Atelier","editorial,designer",weekday_morning
CUST-0000291,accessories,medium,,designer,weekday_evening
CUST-0000292,shoes,low,"Montclair House,Luxe & Co.,Aurelle Couture",contemporary,weekday_evening
CUST-0000293,"men,women,handbags",low,"Luxe & Co.,Aurelle Couture","athleisure,designer",anytime
CUST-0000294,"jewelry,beauty",medium,Aurelle Couture,designer,weekend
CUST-0000295,"jewelry,handbags",medium,"Seaside Atelier,Bellezza Studio",editorial,anytime
CUST-0000296,"jewelry,shoes",medium,"Luxe & Co.,Veloce Luxe","designer,athleisure",weekday_evening
CUST-0000297,"accessories,home",medium,Aurelle Couture,"athleisure,editorial",weekday_evening
CUST-0000298,shoes,high,,"classic,contemporary",weekday_evening
CUST-0000299,"accessories,women",medium,,contemporary,weekday_evening
CUST-0000300,"jewelry,handbags",medium,,athleisure,weekend
CUST-0000301,"accessories,shoes,beauty",medium,Bellezza Studio,classic,anytime
CUST-0000302,"accessories,beauty,men",medium,Luxe & Co.,contemporary,weekend
CUST-0000303,beauty,medium,"Aurelle Couture,Veloce Luxe",designer,weekday_morning
CUST-0000304,"handbags,women,shoes",medium,Bellezza Studio,editorial,weekend
CUST-0000305,home,low,Montclair House,athleisure,anytime
CUST-0000306,men,medium,Luxe & Co.,"athleisure,editorial",weekday_evening
CUST-0000307,"shoes,handbags,jewelry",medium,Veloce Luxe,contemporary,anytime
CUST-0000308,"accessories,men",medium,,"athleisure,classic",weekday_morning
CUST-0000309,"beauty,men,jewelry",low,"Bellezza Studio,Seaside Atelier","classic,contemporary",weekday_morning
CUST-0000310,accessories,high,"Veloce Luxe,Montclair House,Luxe & Co.",classic,weekday_morning
CUST-0000311,shoes,medium,"Bellezza Studio,Seaside Atelier",contemporary,weekday_morning
CUST-0000312,"accessories,home,handbags",high,Seaside Atelier,"designer,contemporary",weekday_morning
CUST-0000313,"home,handbags",low,"Montclair House,Seaside Atelier","designer,editorial",anytime
CUST-0000314,"accessories,men,handbags",low,Bellezza Studio,contemporary,weekday_morning
CUST-0000315,"home,women,beauty",low,"Montclair House,Seaside Atelier,Bellezza Studio",designer,weekday_morning
CUST-0000316,"women,accessories",low,"Bellezza Studio,Veloce Luxe",editorial,weekend
CUST-0000317,shoes,medium,,designer,weekday_evening
CUST-0000318,"beauty,jewelry",high,"Montclair House,Luxe & Co.","classic,athleisure",weekend
CUST-0000319,"beauty,accessories",medium,"Seaside Atelier,Bellezza Studio,Aurelle Couture","athleisure,classic",weekday_morning
CUST-0000320,handbags,medium,"Montclair House,Veloce Luxe,Luxe & Co.",designer,weekend
